Language_ID	AUTOTYP_area	Longitude	Latitude
amdo1237	Inner Asia	100.485	34.5177
amel1241	N Coast New Guinea	145.687	-5.29126
amer1248	E North America	-81.6121	33.8117
amga1235	Oceania	121.042	16.9016
amha1245	Greater Abyssinia	39.543456	11.708182
amii1238	N Australia	130.04	-13.5573
amis1246	Oceania	121.348	23.0917
amol1235	N Coast New Guinea	142.532	-3.46843
amol1236	Mesoamerica	-97.4518	16.6521
amoo1242	African Savannah	8.65405	10.3229
amor1239	Greater Mesopotamia	40.72	34.71
ampa1238	African Savannah	-3.55	14.15
ampa1239	Southeast Asia	116.349	-0.79259
amri1238	Indic	91.482	26.024
amto1250	N Coast New Guinea	141.339	-4.12165
amun1246	NE South America	-62.3064	-9.04023
anaa1238	African Savannah	7.57969	4.94832
anak1240	Oceania	119.605	-9.63425
anal1239	Southeast Asia	94.2806	24.0506
anam1247	N Coast New Guinea	145.051	-4.68869
anam1248	N Coast New Guinea	144.991	-4.63762
anam1249	NE South America	-49.303	-2.71119
anas1239	N Coast New Guinea	137.716	-1.73908
anat1248	African Savannah	-3.1168	14.6669
anat1259	Greater Mesopotamia	32.87	39.87
anau1243	NE South America	-65.413237	1.480584
anca1236	African Savannah	11.1087	6.66524
anci1242	Europe	21.9129	39.8155
anci1244	Greater Mesopotamia	35.1725	31.7761
anci1245	Greater Mesopotamia	39.776	29.044
anda1280	Southeast Asia	92.738	11.676
anda1282	N Australia	127.693718	-16.531222
anda1283	N Coast New Guinea	143.637	-4.96449
anda1284	N Coast New Guinea	144.767	-4.48734
anda1286	Andean	-76	2.74999
anda1287	N Africa	-5.2	36.54
ande1247	S Australia	137.3515	-22.51278
andh1242	Indic	77.7156	19.4734
andi1255	Greater Mesopotamia	46.2919	42.8078
andi1257	Oceania	123.174	-0.88368
ando1254	NE South America	-72.310867	-0.666992
ando1255	NE South America	-76.6056	-3.29664
ando1256	NE South America	-72.0869	-0.53751
andr1246	Southeast Asia	94.033796	24.754303
andr1248	N Coast New Guinea	147.085	-2.05894
anei1239	Oceania	169.825	-20.1864
anem1248	S New Guinea	148.479	-9.75911
anem1249	N Coast New Guinea	148.993	-5.54836
anfi1235	Greater Abyssinia	34.647	8.568
anga1288	Southeast Asia	93.8668	25.6841
anga1290	Interior New Guinea	146.352	-7.15012
anga1292	Interior New Guinea	143.478	-6.13347
anga1293	Interior New Guinea	143.592	-6.0127
anga1294	Interior New Guinea	143.583	-6.23296
anga1315	Southeast Asia	93.719062	25.896367
anga1316	SE South America	-58.45	-22.85
angg1238	N Australia	142.242	-11.443
angg1239	Interior New Guinea	139.457	-4.0836
angi1238	Indic	85.534	26.0047
angl1239	Europe	-2.56	51.75
ango1254	N Coast New Guinea	141.199	-3.7167
ango1255	N Coast New Guinea	144.028	-4.07758
ango1257	NE South America	-71.9212	6.54198
ango1258	S Africa	6.59486	0.11438
angu1242	N Australia	141.755	-12.395
anii1245	African Savannah	1.60169	9.11127
anii1246	S Africa	22.9088	-19.0966
anim1239	African Savannah	0.41962	7.60385
anin1240	N Australia	136.6415	-13.99904
